"station_id";"name";"latitude";"longitude";"type";"charging_speed";"charging_per_kwh"
9321;"Av. do Brasil";38.7581;-9.14026;"Schuko";"3.7kW";"N/A"
9322;"Av. António José de Almeida";38.738;-9.14061;"Schuko";"3.7kW";"N/A"
9323;"Av. de Roma";38.7435;-9.13839;"Schuko";"3.7kW";"N/A"
9325;"R. Alferes Malheiro";38.7594;-9.136;"Schuko";"3.7kW";"N/A"
9326;"Travessa do Cidadão João Gonçalves";38.7213;-9.13512;"Schuko";"3.7kW";"N/A"
9327;"R. Presidente Wilson";38.7415;-9.13507;"Schuko";"3.7kW";"N/A"
9328;"Av. Almirante Gago Coutinho";38.7598;-9.1303;"Schuko";"3.7kW";"N/A"
9329;"Largo da Graça";38.7415;-9.13503;"Schuko";"3.7kW";"N/A"
9330;"Av. General Roçadas";38.7223;-9.12889;"Schuko";"3.7kW";"N/A"
9333;"Campo de Santa Clara";38.7151;-9.12413;"Schuko";"3.7kW";"N/A"
9334;"Parada do Alto de São João";38.7291;-9.12312;"Type2";"3.7kW";"N/A"
9335;"R. da Cruz de Santa Apolónia";38.7175;-9.12116;"Type2";"3.7kW";"N/A"
9336;"Av. Cidade de Lourenço Marques";38.765;-9.11945;"Type2";"3.7kW";"N/A"
9337;"R. Conselheiro Emídio Navarro";38.7569;-9.11536;"Schuko";"3.7kW";"N/A"
9338;"R. Cidade da Nova Lisboa";38.7678;-9.11569;"Schuko";"3.7kW";"N/A"
9339;"R. Alferes Barrilaro Ruas";38.7753;-9.11253;"Schuko";"3.7kW";"N/A"
9340;"Av. Dr. Augusto de Castro";38.7536;-9.11369;"Schuko";"3.7kW";"N/A"
9341;"Praça General Domingos Oliveira";38.7076;-9.17366;"Schuko";"3.7kW";"N/A"
9342;"R. João de Deus";38.7128;-9.16004;"Schuko";"3.7kW";"N/A"
9343;"Av. de Berlim";38.7678;-9.10846;"Schuko";"3.7kW";"N/A"
9344;"R. Dr. José Espírito Santo";38.7543;-9.10869;"Schuko";"3.7kW";"N/A"
9345;"R. do Beato";38.7339;-9.10551;"Schuko";"3.7kW";"N/A"
9346;"R. do Vale Formoso de Cima";38.7496;-9.10446;"Schuko";"3.7kW";"N/A"
9347;"Av. de Pádua";38.7629;-9.10504;"Type2";"3.7kW";"N/A"
9348;"Praça General Humberto Delgado";38.7458;-9.10162;"Type2";"3.7kW";"N/A"
9349;"R. Fernando Palha";38.7429;-9.1019;"Schuko";"3.7kW";"N/A"
9351;"R. da Cintura do Porto de Lisboa";38.7028;-9.16991;"Schuko";"3.7kW";"N/A"
9352;"Av. 24 de Julho";38.7067;-9.1462;"Type2";"3.7kW";"N/A"
9353;"R. do Comercio";38.7084;-9.13849;"Type2";"3.7kW";"N/A"
9356;"Av. da Índia";38.6977;-9.22645;"Type2";"3.7kW";"N/A"
9357;"Av. da Índia";38.6977;-9.22636;"Type2";"3.7kW";"N/A"
9358;"R. de Belém";38.6974;-9.20394;"Type2";"3.7kW";"N/A"
9359;"Praça Afonso de Albuquerque";38.6968;-9.20158;"Schuko";"3.7kW";"N/A"
9360;"Praça Afonso de Albuquerque";38.6967;-9.20155;"Schuko";"3.7kW";"N/A"
9361;"Av. da Índia";38.6968;-9.19341;"Schuko";"3.7kW";"N/A"
9362;"R. Ator António Silva";38.7605;-9.15599;"Type2";"3.7kW";"N/A"
